JavaScript Project,,,,,,,
,,,,,,,
,,,,,,,
Developer,,,,Project Name,,,
Project Advisor,,,,Github Link,,,
Project Evaluator,,,,Live Link,,,
,,,,,,,
Project Type,Visualization,,,,,NOTE: Fill in all PURPLE spots with your project specific details,
Description: ,,,,,,,
,,,,,,,
,,,,,,,
Score Guide,Missing,Fair,Good,Complete,,,
,0,1,2,3,,,
,,,,,,,
,,,,,,,
Functionality Requirements,User Instructions,,Functionality 1,,Functionality 2,,Bonus Features (If applicable)
Description,,,,,,,
Adequate Styling,,,,,,,
Intuitive UI,,,,,,,
Active Functionality,,,,,,,
Dynamic Interaction,,,,,,,
Evaluator Comments,,,,,,,
,,,,,,,
,,,,,,,
Additional Requirements,README,About (Links),Favicon,No Console Errors,No Extraneous Content ,Successful Hosting,
Scores: 0 or 1,,,,,,,
,,,,,,,
Final Score,User Instructions,Functionality 1,Functionality 2,Additional Req,Bonus Features,% Complete,
% Totals:,0,0,0,0,0,0,
